Featured,Redaction,Release Date,Title,Type,Video Pairing,PDF Pairing,Description Blurb,DVIDS Video ID,Video Title,Agency,Incident Date,Incident Location,PDF | Image Link,Modal Image,Image Alt Text,Image VIRIN,,,,,,,,,,,,
,,8/7/26,"DOW-UAP-PR123, Unresolved UAP Report, Pacific Ocean, 2019 ",VID,DOW-UAP-PR124 | DOW-UAP-PR125 | DOW-UAP-PR126 | DOW-UAP-PR127,,"The United States Navy Unidentified Anomalous Phenomena Task Force (UAPTF) transferred this media to the All-domain Anomaly Resolution Office (AARO) in 2022. The video contains 1 minute and 4 seconds of footage. This footage is a secondary capture, recorded via a hand-held recording device, of an infrared sensor display aboard a U.S. military platform. This footage does not represent native primary sensor data, and the secondary recording method introduces limitations in fidelity, resolution, and overall visual quality. Artifacts inherent to filming a screen, such as blurring or flickering, may be present. The footage contained within DOW-UAP-PR123 through DOW-UAP-PR127 was captured contemporaneously. This media was digitally altered before being reported to AARO, and is presented as it was received.

Video description: 

00:00-00:03: An area of contrast is visible near the center of the frame. 

00:04-00:07: The area of contrast loses distinctiveness against the background.

00:08-00:25: An area of contrast becomes visible near the center of the frame. The sensor pans and zooms in to focus on the area of contrast, keeping it generally within the center of the frame.  

00:25-01:04: The area of contrast remains generally centered within the sensor field-of-view. 

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance.",1017805,,Department of War,2019,Pacific Ocean,,,,,,,,,,,,,,,,
,,8/7/26,"DOW-UAP-PR124, Unresolved UAP Report, Pacific Ocean, 2019 ",VID,DOW-UAP-PR123 | DOW-UAP-PR125 | DOW-UAP-PR126 | DOW-UAP-PR127,,"The United States Navy Unidentified Anomalous Phenomena Task Force (UAPTF) transferred this media to the All-domain Anomaly Resolution Office (AARO) in 2022. The video contains 53 seconds of footage. This footage is a secondary capture, recorded via a hand-held recording device, of an infrared sensor display aboard a U.S. military platform. This footage does not represent native primary sensor data, and the secondary recording method introduces limitations in fidelity, resolution, and overall visual quality. Artifacts inherent to filming a screen, such as blurring or flickering, may be present. The footage contained within DOW-UAP-PR123 through DOW-UAP-PR127 was captured contemporaneously. This media was digitally altered before being reported to AARO, and is presented as it was received.

Video description: 

00:00-00:01: An area of contrast remains generally centered within the sensor field-of-view. 

00:02-00:29: The sensor zooms in on the area of contrast.

00:30-00:53: The area of contrast loses distinctiveness against the background.

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance. ",1017806,,Department of War,2019,Pacific Ocean,,,,,,,,,,,,,,,,
,,8/7/26,"DOW-UAP-PR125, Unresolved UAP Report, Pacific Ocean, 2019",VID,DOW-UAP-PR123 | DOW-UAP-PR124 | DOW-UAP-PR126 | DOW-UAP-PR127,,"The United States Navy Unidentified Anomalous Phenomena Task Force (UAPTF) transferred this media to the All-domain Anomaly Resolution Office (AARO) in 2022. The video contains 28 seconds of footage. This footage is a secondary capture, recorded via a hand-held recording device, of an infrared sensor display aboard a U.S. military platform. This footage does not represent native primary sensor data, and the secondary recording method introduces limitations in fidelity, resolution, and overall visual quality. Artifacts inherent to filming a screen, such as blurring or flickering, may be present. The footage contained within DOW-UAP-PR123 through DOW-UAP-PR127 was captured contemporaneously. This media was digitally altered before being reported to AARO, and is presented as it was received.

Video description: 

00:00-00:05: An area of contrast remains generally centered within the sensor field-of-view. 

00:06-00:09: The area of contrast tracks left within the sensor field-of-view. 

00:10-00:15: The area of contrast loses distinctiveness against the background.

00:16-00:22: An area of contrast appears in the sensor field-of-view. The sensor pans to track it, keeping it generally within the center of the frame.  

00:23-00:28: The area of contrast remains generally centered within the sensor field-of-view.

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance. ",1017788,,Department of War,2019,Pacific Ocean,,,,,,,,,,,,,,,,
,,8/7/26,"DOW-UAP-PR126, Unresolved UAP Report, Pacific Ocean, 2019",VID,DOW-UAP-PR123 | DOW-UAP-PR124 | DOW-UAP-PR125 | DOW-UAP-PR127,,"The United States Navy Unidentified Anomalous Phenomena Task Force (UAPTF) transferred this media to the All-domain Anomaly Resolution Office (AARO) in 2022. The video contains 2 minutes and 32 seconds of footage captured via hand-held recording device by a U.S. military service member in 2019. Low-light conditions at the time of capture influence the overall visual quality of the footage. The footage contained within DOW-UAP-PR123 through DOW-UAP-PR127 was captured contemporaneously. This media was digitally altered before being reported to AARO, and is presented as it was received.

Video description: 

00:00-00:08: The camera pans against the background, bringing two apparent light sources into frame from the top left corner. The recording device focuses on the light sources, keeping them generally within the center of the frame.

00:09-00:53: The camera pans against the background. As the camera pans, it repeatedly brings several apparent light sources into and out of the frame. 

00:54-01:23: The sensor zooms in on the light source in the lower left quarter of the frame, focusing to bring it into the center of the field-of-view. 

01:24-02:32: The sensor zooms out and continues to pan to track apparent light sources. As the camera pans, it repeatedly brings several apparent light sources into and out of the frame.

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance.",1017790,,Department of War,2019,Pacific Ocean,,,,,,,,,,,,,,,,
,,8/7/26,"DOW-UAP-PR127, Unresolved UAP Report, Pacific Ocean, 2019",VID,DOW-UAP-PR123 | DOW-UAP-PR124 | DOW-UAP-PR125 | DOW-UAP-PR126,,"The United States Navy Unidentified Anomalous Phenomena Task Force (UAPTF) transferred this media to the All-domain Anomaly Resolution Office (AARO) in 2022. The video contains 2 minutes and 29 seconds of footage captured via a hand-held recording device by a U.S. military service member in 2019. Low-light conditions at the time of capture influence the overall visual quality of the footage. The footage contained within DOW-UAP-PR123 through DOW-UAP-PR127 was captured contemporaneously. This media was digitally altered before being reported to AARO, and is presented as it was received. 

Video description: 

00:00-00:17: The camera pans to track an apparent light source.

00:18-00:26: No content.

00:27-00:43: The camera pans to track an apparent light source.

00:44-00:47: No content.

00:47-00:49: The camera pans to track an apparent light source.

00:50-00:52: No content.

00:53-00:57: The camera pans to track an apparent light source.

00:57-01:02: No content.

01:02-02:28: The camera pans to track an apparent light source.

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance.",1017791,,Department of War,2019,Pacific Ocean,,,,,,,,,,,,,,,,
,TRUE,8/7/26,"DOW-UAP-PR134, Unresolved UAP Report, Middle East, 2025 ",VID,,,"The United States Central Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of 1 minute and 39 seconds of video footage from an electro-optical and infrared sensor aboard a U.S. military platform in 2025.

Video description: 

00:00-01:39: The sensor pans to track an area of contrast from left to right across the background, keeping it generally centered within the frame. The sensor adjusts collection mode and level of magnification several times.

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance. ",1017792,,Department of War,2025,Middle East,,,,,,,,,,,,,,,,
,TRUE,8/7/26,"DOW-UAP-PR136, Unresolved UAP Report, Middle East, 2023 ",VID,,,"The United States Central Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of 30 seconds of video footage from an infrared sensor aboard a U.S. military platform in 2023.

Video description: 

00:00-00:08: The sensor pans to track an area of contrast, keeping it generally centered within the frame. The sensor is partially occluded by a component of the platform passing in front of it, obscuring the background.

00:09-00:33: The sensor zooms in on the area of contrast. A reticle briefly surrounds the area of contrast. The sensor is occluded by a component of the platform, obscuring the display.

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance. ",1017796,,Department of War,2023,Middle East,,,,,,,,,,,,,,,,
,TRUE,8/7/26,"DOW-UAP-PR142, Unresolved UAP Report, Middle East, 2025",VID,,,"The United States Central Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of 14 seconds of video footage from an infrared sensor aboard a U.S. military platform in 2025.

Video description: 

00:00-00:04: No content.

00:05-00:08: An area of contrast enters the sensor field-of-view from the left edge, transits from left to right, and exits the right edge of the frame. 

00:09-00:14: No content.

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance.",1017797,,Department of War,2025,Middle East,,,,,,,,,,,,,,,,
,TRUE,8/7/26,"DOW-UAP-PR149, Unresolved UAP Report, Middle East, 2023 ",VID,,,"The United States Central Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of 51 seconds of video footage from an infrared sensor aboard a U.S. military platform in 2023.

Video description: 

00:00-00:04: An area of contrast transits the frame from the bottom right edge to the lower left edge of the sensor field-of-view.

00:05-00:51: The sensor pans to track the area of contrast, keeping it generally within the center of the frame.

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance.",1017799,,Department of War,2023,Middle East,,,,,,,,,,,,,,,,
,,8/7/26,"EOP-UAP-D001, NASC Inquiry into Bahia, Brazil Incident, November 13, 1963 ",PDF,,DOS-UAP-D001 | DOS-UAP-D002,"This document is a Central Intelligence Agency (CIA) Foreign Broadcast Information Service (FBIS) wire report dated November 9, 1963, tracking a local Portuguese-language radio broadcast from Rio de Janeiro, Brazil, regarding an alleged crash of a “large metal sphere” containing a deceased occupant in Conde, Bahia, Brazil. This FBIS report is excerpted from the files of Edward C. Welsh, Executive Secretary of the National Aeronautics and Space Council (NASC). NASC was a cabinet-level advisory body within the Executive Office of the President responsible for coordinating U.S. space policy from 1958 to 1973.

Handwritten annotations dated November 13, 1963, document a communication between officials at NASC and the U.S. Department of State. The note records a NASC request to a State Department official to query the U.S. Embassy in Rio de Janeiro for local verification of the reporting. This inter-agency request precedes a subsequent diplomatic cable sent by the Embassy the following day, cataloged in this collection under the title “DOS-UAP-D001.” ",,,Executive Office of the President,11/13/63,"Bahia, Brazil",https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/EOP-UAP-D001_NASC-Inquiry-into-Bahia-Brazil-Incident_November-13-1963.pdf,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/EOP-UAP-D001_NASC-Inquiry-into-Bahia-Brazil-Incident_November-13-1963.jpg,"A Central Intelligence Agency Foreign Broadcast Information Service wire report, with handwritten notes.",260807-O-D0360-1143,,,,,,,,,,,,
,TRUE,8/7/26,"FBI-UAP-D024, FD-302, “Airborne Lights and Triangle,” 2002, 2023-2024",PDF,,FBI-UAP-D025,"This document is an FBI FD-302, a form the Federal Bureau of Investigation (FBI) uses to record interviews. This FD-302 records a March 2024 interview with a former U.S. military pilot, in which the interviewee describes several incidents potentially involving unidentified anomalous phenomena (UAP) in 2023 and 2024. The interviewee also recalls a 2002 incident potentially involving UAP, while deployed as a military reservist in Afghanistan. An FBI digital rendering based upon the observer’s description accompanies this document, under the title FBI-UAP-D025. ",,,FBI,"2002, 2023-2024",Northeastern U.S.; Afghanistan,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/FBI-UAP-D024_FD-302_Airborne-Lights-and-Triangle_2002_2023-2024.pdf,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D024_FD-302_Airborne-Lights-and-Triangle_2002_2023-2024.jpg,An FBI interview transcript.,260807-O-D0360-1144,,,,,,,,,,,,
,TRUE,8/7/26,"FBI-UAP-D026, FD-302, “Dark Translucent Triangle,” 2023",PDF,,FBI-UAP-027,"This document is an FBI FD-302, a form the Federal Bureau of Investigation (FBI) uses to record interviews. This FD-302 records a January 2026 interview with a former employee of the Department of War, in which the interviewee describes an incident potentially involving unidentified anomalous phenomena (UAP) in Colorado Springs, Colorado, in October 2023. An FBI digital rendering based upon the observer’s description accompanies this document, under the title FBI-UAP-D027. ",,,FBI,2023,"Colorado Springs, Colorado",https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/FBI-UAP-D026_FD-302_Dark-Translucent-Triangle_2023.pdf,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D026_FD-302_Dark-Translucent-Triangle_2023.jpg,An FBI interview transcript.,260807-O-D0360-1146,,,,,,,,,,,,
,TRUE,8/7/26,"FBI-UAP-D028, FD-302, “Dark Triangle with Lights,” 2011 ",PDF,,FBI-UAP-D029,"This document is an FBI FD-302, a form the Federal Bureau of Investigation (FBI) uses to record interviews. This FD-302 records an April 2025 interview with two former U.S. military service members, in which the interviewees describe an incident potentially involving unidentified anomalous phenomena (UAP) in June or July of 2011. An FBI digital rendering based upon the observers’ descriptions accompanies this document, under the title FBI-UAP-D029. ",,,FBI,2011,,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/FBI-UAP-D028_FD-302_Dark-Triangle-with-Lights_2011.pdf,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D028_FD-302_Dark-Triangle-with-Lights_2011.jpg,An FBI interview transcript.,260807-O-D0360-1148,,,,,,,,,,,,
,TRUE,8/7/26,"FBI-UAP-D030, FD-302, “Large Triangle with Red Lights,” 2023 ",PDF,,FBI-UAP-D031,"This document is an FBI FD-302, a form the Federal Bureau of Investigation (FBI) uses to record interviews. This FD-302 records an October 2025 interview with a U.S. Person, in which the interviewee describes an incident potentially involving unidentified anomalous phenomena (UAP) in Colorado Springs, Colorado, in October 2023. An FBI digital rendering based upon the observer’s description accompanies this document, under the title FBI-UAP-D031.",,,FBI,2023,"Colorado Springs, Colorado",https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/FBI-UAP-D030_FD-302_Large-Triangle-with-Red-Lights_2023.pdf,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D030_FD-302_Large-Triangle-with-Red-Lights_2023.jpg,An FBI interview transcript.,260807-O-D0360-1150,,,,,,,,,,,,
,TRUE,8/7/26,"FBI-UAP-D032, FD-302, “Slow-moving Objects,” 2026 ",PDF,FBI-UAP-PR007,,"This document is an FBI FD-302, a form the Federal Bureau of Investigation (FBI) uses to record interviews. This FD-302 records a 2026 interview with a U.S. Government Special Agent, in which the interviewee describes an incident potentially involving unidentified anomalous phenomena (UAP) in the western United States, at approximately 4:00 PM local time, in 2026. This FD-302 is accompanied by video footage captured during the incident, under the title FBI-UAP-PR007.",,,FBI,2026,Western United States,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/FBI-UAP-D032_FD-302_Slow-moving-Objects_2026.pdf,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D032_FD-302_Slow-moving-Objects_2026.jpg,An FBI interview transcript.,260807-O-D0360-1152,,,,,,,,,,,,
,TRUE,8/7/26,"FBI-UAP-D033, FD-302, “Thermally Elevated Aerial Object,” 2026",PDF,,,"This document is an FBI FD-302, a form the Federal Bureau of Investigation (FBI) uses to record interviews. This FD-302 records a 2026 interview with a U.S. Government Special Agent, in which the interviewee describes an incident potentially involving unidentified anomalous phenomena (UAP) in the western United States, at approximately 9:00 PM local time, in 2026.",,,FBI,2026,Western United States,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/FBI-UAP-D033_FD-302_Thermally-Elevated-Aerial-Object_2026.pdf,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D033_FD-302_Thermally-Elevated-Aerial-Object_2026.jpg,An FBI interview transcript.,260807-O-D0360-1153,,,,,,,,,,,,
,TRUE,8/7/26,"FBI-UAP-D037, FD-302, “Multiple Red Lights,” 2026",PDF,,FBI-UAP-D038 | FBI-UAP-D039,"This document is an FBI FD-302, a form the Federal Bureau of Investigation (FBI) uses to record interviews. This FD-302 records a 2026 interview with a U.S. person, in which the interviewee describes three incidents potentially involving unidentified anomalous phenomena (UAP) in the western United States occurring within a 5-hour period in 2026. A second individual who was present at the time also provided an interview, recorded in this collection as “FBI-UAP-D040.” Two FBI digital renderings based upon the observer’s descriptions accompany this document, under the titles FBI-UAP-D038 and FBI-UAP-D039.",,,FBI,2026,Western United States,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/FBI-UAP-D037_FD-302_Multiple-Red-Lights_2026.pdf,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D037_FD-302_Multiple-Red-Lights_2026.jpg,An FBI interview transcript.,260807-O-D0360-1157,,,,,,,,,,,,
,TRUE,8/7/26,"FBI-UAP-D040, FD-302, “Multiple Red Lights,” 2026",PDF,,FBI-UAP-D041 | FBI-UAP-D042,"This document is an FBI FD-302, a form the Federal Bureau of Investigation (FBI) uses to record interviews. This FD-302 records a 2026 telephonic interview with a U.S. person, in which the interviewee describes two incidents potentially involving unidentified anomalous phenomena (UAP) in the western United States in 2026. A second individual who was present during the incidents at the time also provided an interview, recorded in this collection as “FBI-UAP-D037.” Two FBI digital renderings based upon the observers’ descriptions accompany this document, under the titles FBI-UAP-D041 and FBI-UAP-D042.",,,FBI,2026,Western United States,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/FBI-UAP-D040_FD-302_Multiple-Red-Lights_2026.pdf,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D040_FD-302_Multiple-Red-Lights_2026.jpg,An FBI interview transcript.,260807-O-D0360-1160,,,,,,,,,,,,
,,8/7/26,"FBI-UAP-PR007, “Slow-moving Objects,” 2026",VID,,FBI-UAP-D032,"A U.S. Government Special Agent captured this video footage via hand-held optical thermal imaging device during a 2026 incident in the western United States, as described in FBI-UAP-D032. The footage features two, slow-moving “black-hot” areas of contrast, visible in infrared imaging. ",1017801,,FBI,2026,Western United States,,,,,,,,,,,,,,,,
